2021-02-15 17:26:14.071 DEBUG 2112 --- [main] org.hibernate.SQL                        : create table hibernate_sequence (next_val bigint) engine=InnoDB
2021-02-15 17:26:14.093 DEBUG 2112 --- [main] org.hibernate.SQL                        : insert into hibernate_sequence values ( 1 )
2021-02-15 17:26:14.119 DEBUG 2112 --- [main] org.hibernate.SQL                        : create table prodotto (id bigint not null, descrizione varchar(255), prezzo float, primary key (id)) engine=InnoDB
2021-02-15 17:26:14.495  WARN 2112 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-02-15 17:31:22.140  WARN 5188 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-02-15 17:31:28.402  WARN 5188 --- [http-nio-8080-exec-2] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `java.lang.Float` from String "gdfg": not a valid Float value; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.lang.Float` from String "gdfg": not a valid Float value
 at [Source: (PushbackInputStream); line: 1, column: 44] (through reference chain: it.sirfin.catalogoprodottoill.dto.RichiestaProdottoDto["prodotto"]->it.sirfin.catalogoprodottoill.model.Prodotto["prezzo"])]
2021-02-15 17:31:39.914  WARN 5188 --- [http-nio-8080-exec-3] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `java.lang.Float` from String "dfg": not a valid Float value; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.lang.Float` from String "dfg": not a valid Float value
 at [Source: (PushbackInputStream); line: 1, column: 43] (through reference chain: it.sirfin.catalogoprodottoill.dto.RichiestaProdottoDto["prodotto"]->it.sirfin.catalogoprodottoill.model.Prodotto["prezzo"])]
2021-02-15 17:32:01.209 DEBUG 5188 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2021-02-15 17:32:01.220 DEBUG 5188 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2021-02-15 17:32:01.247 DEBUG 5188 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : insert into prodotto (descrizione, prezzo, id) values (?, ?, ?)
2021-02-15 17:32:01.248 TRACE 5188 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [ggsdg]
2021-02-15 17:32:01.249 TRACE 5188 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [FLOAT] - [273.0]
2021-02-15 17:32:01.250 TRACE 5188 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [1]
2021-02-15 17:32:01.326 DEBUG 5188 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select prodotto0_.id as id1_0_, prodotto0_.descrizione as descrizi2_0_, prodotto0_.prezzo as prezzo3_0_ from prodotto prodotto0_
2021-02-15 17:32:12.899 DEBUG 5188 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select prodotto0_.id as id1_0_, prodotto0_.descrizione as descrizi2_0_, prodotto0_.prezzo as prezzo3_0_ from prodotto prodotto0_
